DATE,START TIME (24HR),SITE,POINT,OBSERVER,BOUT,SKY,WIND (MPH),NOISE,NOISE_DIST (M),NOISE_DIR,TEMP (F),WATER_DEPTH (CM),SPECIES_CODE,COMMON_NAME,"DISTANCE_BAND (1 = <10, 2 = 10<25, 3 = 25 < 50, 4 = 50 < 100",DISTANCE (M),TIME_INTERVAL ,DETECTION_TYPE,COMMENTS,Entered,Proofed
4/15/2022,6:49,Tigrett,A1,HH,1,0,1.3,0,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,Forgot water depth; flooded; no detections,CG,HH
4/15/2022,6:29,Tigrett,A2,HH,1,0,2.3,0,NA,NA,58.5,NA,NA,NA,NA,NA,NA,NA,Forgot water depth; flooded; no detections,CG,HH
4/15/2022,7:09,Tigrett,A3,HH,1,0,1.9,0,NA,NA,59.4,NA,NA,NA,NA,NA,NA,NA,Forgot water depth; flooded; no detections,CG,HH
4/15/2022,8:31,Parker Branch,A1,MB,1,0,0,1,100,South,61.9,9.906,NA,NA,NA,NA,NA,NA,Slight road traphic sound disruption; Temp is from A2; flushed American bittern before survey; no detections,CG,HH
4/15/2022,8:26,Parker Branch,A2,HH,1,0,0,0,NA,NA,61.9,0,NA,NA,NA,NA,NA,NA,Muddy; no detections,CG,HH
4/16/2022,6:26,Lower Hatchie,A1,HH,1,3,0.8,0,NA,NA,67.7,3.556,NA,NA,NA,NA,NA,NA,No detections,CG,HH
4/16/2022,6:34,Lower Hatchie,A2,MB,1,0,1.4,1,4828.03,South,62,17.526,PBGR,Pied-Billed Grebe,5,200,10,A,Road traffic and machinery sound disruption,CG,HH
4/16/2022,6:58,Lower Hatchie,A3,HH,1,2,0,0,NA,NA,70.8,20.066,NA,NA,NA,NA,NA,NA,No detections,CG,HH
4/16/2022,19:02,Hatchie,A1,MB,1,0,0,3,45.72,East,64,82.042,AMCO,American Coot,3,41.148,2,A,Red-winged blackbird sound disruption; 4 American coots seen before survey,CG,HH
4/16/2022,19:02,Hatchie,A1,MB,1,0,0,3,45.72,East,64,82.042,AMCO,American Coot,4,54.864,8,A,Red-winged blackbird sound disruption,CG,HH
4/16/2022,19:02,Hatchie,A1,MB,1,0,0,3,45.72,East,64,82.042,PBGR,Pied-Billed Grebe,3,36.576,9,A,Red-winged blackbird sound disruption,CG,HH
4/16/2022,19:02,Hatchie,A1,MB,1,0,0,3,45.72,East,64,82.042,PBGR,Pied-Billed Grebe,3,36.576,9,A,Red-winged blackbird sound disruption,CG,HH
4/16/2022,18:02,Hatchie,B1,MB,1,0,0,0,NA,NA,65,16.51,NA,NA,NA,NA,NA,NA,No detections,CG,HH
4/16/2022,18:00,Hatchie,C1,HH,1,2,0,0,NA,NA,71.1,43.18,NA,NA,NA,NA,NA,NA,No detections; flooded,CG,HH
4/17/2022,6:17,Tennessee National,A1,HH,1,1,1.6,0,NA,NA,54.8,4.826,LEBI,Least Bittern,4,97,6,A,,CG,HH
4/17/2022,6:24,Tennessee National,A2,MB,1,0,4.5,0,NA,NA,49,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
4/17/2022,6:55,Tennessee National,A3,HH,1,2,0,0,NA,NA,53.7,3.556,NA,NA,NA,NA,NA,NA,No detections,CG,HH
4/17/2022,7:30,Tennessee National,B1,HH,1,2,9,0,NA,NA,49,12.446,NA,NA,NA,NA,NA,NA,No detections,CG,HH
4/17/2022,7:38,Tennessee National,B2,MB,1,0,4.6,0,NA,NA,48,35.56,AMCO,American Coot,5,182.88,1,A,,CG,HH
4/17/2022,8:05,Tennessee National,B3,MB,1,0,3.6,0,NA,NA,49,0,NA,NA,NA,NA,NA,NA,No detections,CG,HH
