"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Species.Code","Common.Name","Confidence","study_area","site","round","ARU","Date","Time","Date_time","Observer","Detections","Comments","COMMENTS","Detection","NA.","DETECTIONS","CommentsS","Columns","Commnets","Detectoins","FSelection","Delta.Time..s.","Delta.Freq..Hz.","Avg.Power.Density..dB.FS.Hz.","Comments.1","Coments","Comments.1.Spectrogram.1.1.2217.000000000.2220.000000000.150.000.12000.000.leabit.Least.Bittern.0.4385.0.RWBL.2.Spectrogram.1.1.438.000000000.441.000000000.150.000.12000.000.leabit.Least.Bittern.0.5114.0.RWBL..Selection.View.Channel.Begin.Time..s..End.Time..s..Low.Freq..Hz..High.Freq..Hz..Species.Code.Common.Name.Confidence.Detections.Comments","Detections.Comments.1.Spectrogram.1.1.1101.000000000.1104.000000000.150.000.12000.000.pibgre.Pied.billed.Grebe.0.4530.0.FROG.2.Spectrogram.1.1.438.000000000.441.000000000.150.000.12000.000.y00475.American.Coot.0.5864.0..3.Spectrogram.1.1.900.000000000.903.000000000.150.000.12000.000.leabit.Least.Bittern.0.6202.0...Selection.View.Channel.Begin.Time..s..End.Time..s..Low.Freq..Hz..High.Freq..Hz..Species.Code.Common.Name.Confidence.Detections","Detectios","Day","day_standardized","recording_day"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-22,"062900","2023-04-22 06:29:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-22,"072902","2023-04-22 07:29:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"3","1","Spectrogram 1","1","1692","1695","150","12000","sora","Sora","0.5094","Armstrong Ferry","A1","R1","MINI17",2023-04-22,"082902","2023-04-22 08:29:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"4","2","Spectrogram 1","1","1722","1725","150","12000","sora","Sora","0.4622","Armstrong Ferry","A1","R1","MINI17",2023-04-22,"082902","2023-04-22 08:29:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"5","3","Spectrogram 1","1","1809","1812","150","12000","sora","Sora","0.5667","Armstrong Ferry","A1","R1","MINI17",2023-04-22,"082902","2023-04-22 08:29:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"6","4","Spectrogram 1","1","1818","1821","150","12000","sora","Sora","0.5134","Armstrong Ferry","A1","R1","MINI17",2023-04-22,"082902","2023-04-22 08:29:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"7","5","Spectrogram 1","1","1989","1992","150","12000","sora","Sora","0.5012","Armstrong Ferry","A1","R1","MINI17",2023-04-22,"082902","2023-04-22 08:29:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"8","6","Spectrogram 1","1","2178","2181","150","12000","sora","Sora","0.6265","Armstrong Ferry","A1","R1","MINI17",2023-04-22,"082902","2023-04-22 08:29:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"9","7","Spectrogram 1","1","2199","2202","150","12000","sora","Sora","0.571","Armstrong Ferry","A1","R1","MINI17",2023-04-22,"082902","2023-04-22 08:29:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"10","8","Spectrogram 1","1","2298","2301","150","12000","sora","Sora","0.5725","Armstrong Ferry","A1","R1","MINI17",2023-04-22,"082902","2023-04-22 08:29:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-22,"092902","2023-04-22 09:29:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-22,"171800","2023-04-22 17:18:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-22,"181802","2023-04-22 18:18:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-22,"191802","2023-04-22 19:18:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-22,"201802","2023-04-22 20:18:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armstrong Ferry","A1","R1","MINI17",2023-04-23,"062800","2023-04-23 06:28:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"17","1","Spectrogram 1","1","2838","2841","150","12000","sora","Sora","0.4358","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"072802","2023-04-23 07:28:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"18","1","Spectrogram 1","1","1590","1593","150","12000","leabit","Least Bittern","0.5494","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"082802","2023-04-23 08:28:02",NA,"0","EATO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"19","2","Spectrogram 1","1","3573","3576","150","12000","sora","Sora","0.8428","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"082802","2023-04-23 08:28:02",NA,"0","BIRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"20","3","Spectrogram 1","1","456","459","150","12000","leabit","Least Bittern","0.4388","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"082802","2023-04-23 08:28:02",NA,"0","BIRD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"21","1","Spectrogram 1","1","1203","1206","150","12000","sora","Sora","0.5601","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"092802","2023-04-23 09:28:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
"22","2","Spectrogram 1","1","1215","1218","150","12000","sora","Sora","0.4009","Armstrong Ferry","A1","R1","MINI17",2023-04-23,"092802","2023-04-23 09:28:02",NA,"0","FROG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2
