"","PRCP_OccR1_1_Percip_cm","PRCP_OccR1_2_Percip_cm","PRCP_OccR1_3_Percip_cm","PRCP_OccR1_4_Percip_cm","PRCP_OccR1_5_Percip_cm","PRCP_OccR2_1_Percip_cm","PRCP_OccR2_2_Percip_cm","PRCP_OccR2_3_Percip_cm","PRCP_OccR2_4_Percip_cm","PRCP_OccR2_5_Percip_cm","PRCP_OccR3_1_Percip_cm","PRCP_OccR3_2_Percip_cm","PRCP_OccR3_3_Percip_cm","PRCP_OccR3_4_Percip_cm","PRCP_OccR3_5_Percip_cm","AWND_OccR1_1_Wind_kmh","AWND_OccR1_2_Wind_kmh","AWND_OccR1_3_Wind_kmh","AWND_OccR1_4_Wind_kmh","AWND_OccR1_5_Wind_kmh","AWND_OccR2_1_Wind_kmh","AWND_OccR2_2_Wind_kmh","AWND_OccR2_3_Wind_kmh","AWND_OccR2_4_Wind_kmh","AWND_OccR2_5_Wind_kmh","AWND_OccR3_1_Wind_kmh","AWND_OccR3_2_Wind_kmh","AWND_OccR3_3_Wind_kmh","AWND_OccR3_4_Wind_kmh","AWND_OccR3_5_Wind_kmh","TMAX_OccR1_1_MaxTemp_c","TMAX_OccR1_2_MaxTemp_c","TMAX_OccR1_3_MaxTemp_c","TMAX_OccR1_4_MaxTemp_c","TMAX_OccR1_5_MaxTemp_c","TMAX_OccR2_1_MaxTemp_c","TMAX_OccR2_2_MaxTemp_c","TMAX_OccR2_3_MaxTemp_c","TMAX_OccR2_4_MaxTemp_c","TMAX_OccR2_5_MaxTemp_c","TMAX_OccR3_1_MaxTemp_c","TMAX_OccR3_2_MaxTemp_c","TMAX_OccR3_3_MaxTemp_c","TMAX_OccR3_4_MaxTemp_c","TMAX_OccR3_5_MaxTemp_c","TMIN_OccR1_1_MinTemp_c","TMIN_OccR1_2_MinTemp_c","TMIN_OccR1_3_MinTemp_c","TMIN_OccR1_4_MinTemp_c","TMIN_OccR1_5_MinTemp_c","TMIN_OccR2_1_MinTemp_c","TMIN_OccR2_2_MinTemp_c","TMIN_OccR2_3_MinTemp_c","TMIN_OccR2_4_MinTemp_c","TMIN_OccR2_5_MinTemp_c","TMIN_OccR3_1_MinTemp_c","TMIN_OccR3_2_MinTemp_c","TMIN_OccR3_3_MinTemp_c","TMIN_OccR3_4_MinTemp_c","TMIN_OccR3_5_MinTemp_c"
"1",0,NA,NA,NA,NA,0,NA,NA,NA,NA,4.4958,NA,NA,NA,NA,3.60416,NA,NA,NA,NA,10.257375,NA,NA,NA,NA,15.47858,NA,NA,NA,NA,24.7222222222222,NA,NA,NA,NA,20.8333333333333,NA,NA,NA,NA,23.8888888888889,NA,NA,NA,NA,6.66666666666667,NA,NA,NA,NA,6.94444444444444,NA,NA,NA,NA,15,NA,NA,NA,NA
"2",0,NA,NA,NA,NA,0,NA,NA,NA,NA,4.4958,NA,NA,NA,NA,3.60416,NA,NA,NA,NA,7.19223,NA,NA,NA,NA,15.47858,NA,NA,NA,NA,25.5555555555556,NA,NA,NA,NA,21.6666666666667,NA,NA,NA,NA,23.8888888888889,NA,NA,NA,NA,6.66666666666667,NA,NA,NA,NA,7.22222222222222,NA,NA,NA,NA,15,NA,NA,NA,NA
"3",0,NA,NA,NA,NA,0,NA,NA,NA,NA,4.4958,NA,NA,NA,NA,3.60416,NA,NA,NA,NA,7.19223,NA,NA,NA,NA,15.47858,NA,NA,NA,NA,25.5555555555556,NA,NA,NA,NA,21.6666666666667,NA,NA,NA,NA,23.8888888888889,NA,NA,NA,NA,6.66666666666667,NA,NA,NA,NA,7.22222222222222,NA,NA,NA,NA,15,NA,NA,NA,NA
"4",0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.60416,NA,NA,NA,NA,7.19223,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5555555555556,NA,NA,NA,NA,21.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.66666666666667,NA,NA,NA,NA,7.22222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0,0,NA,NA,NA,0,NA,NA,NA,NA,2.2479,NA,NA,NA,NA,6.66126,3.60416,NA,NA,NA,7.19223,NA,NA,NA,NA,12.059455,NA,NA,NA,NA,26.1111111111111,25.5555555555556,NA,NA,NA,21.6666666666667,NA,NA,NA,NA,24.7222222222222,NA,NA,NA,NA,7.77777777777778,6.66666666666667,NA,NA,NA,7.22222222222222,NA,NA,NA,NA,14.1666666666667,NA,NA,NA,NA
"6",0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,9.71836,9.71836,NA,NA,NA,7.19223,NA,NA,NA,NA,8.64033,NA,NA,NA,NA,26.6666666666667,26.6666666666667,NA,NA,NA,21.6666666666667,NA,NA,NA,NA,25.5555555555556,NA,NA,NA,NA,8.88888888888889,8.88888888888889,NA,NA,NA,7.22222222222222,NA,NA,NA,NA,13.3333333333333,NA,NA,NA,NA
"7",NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,9.71836,NA,NA,NA,7.19223,NA,NA,NA,NA,8.64033,NA,NA,NA,NA,NA,26.6666666666667,NA,NA,NA,21.6666666666667,NA,NA,NA,NA,25.5555555555556,NA,NA,NA,NA,NA,8.88888888888889,NA,NA,NA,7.22222222222222,NA,NA,NA,NA,13.3333333333333,NA,NA,NA,NA
"8",NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,9.71836,NA,NA,NA,7.19223,NA,NA,NA,NA,8.64033,8.64033,NA,NA,NA,NA,26.6666666666667,NA,NA,NA,21.6666666666667,NA,NA,NA,NA,25.5555555555556,25.5555555555556,NA,NA,NA,NA,8.88888888888889,NA,NA,NA,7.22222222222222,NA,NA,NA,NA,13.3333333333333,13.3333333333333,NA,NA,NA
"9",NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,9.71836,NA,NA,NA,7.19223,NA,NA,NA,NA,NA,8.64033,NA,NA,NA,NA,26.6666666666667,NA,NA,NA,21.6666666666667,NA,NA,NA,NA,NA,25.5555555555556,NA,NA,NA,NA,8.88888888888889,NA,NA,NA,7.22222222222222,NA,NA,NA,NA,NA,13.3333333333333,NA,NA,NA
"10",NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,9.71836,NA,NA,NA,5.752175,7.19223,NA,NA,NA,NA,8.101315,NA,NA,NA,NA,26.6666666666667,NA,NA,NA,22.7777777777778,21.6666666666667,NA,NA,NA,NA,26.6666666666667,NA,NA,NA,NA,8.88888888888889,NA,NA,NA,6.94444444444444,7.22222222222222,NA,NA,NA,NA,14.1666666666667,NA,NA,NA
