"","max_veg.Occ1","max_veg.Occ2","max_veg.Occ3","water.Occ1","water.Occ2","water.Occ3","pe.Occ1","pe.Occ2","pe.Occ3","npe.Occ1","npe.Occ2","npe.Occ3","bare.Occ1","bare.Occ2","bare.Occ3","dead.Occ1","dead.Occ2","dead.Occ3","floating.Occ1","floating.Occ2","floating.Occ3","openwater.Occ1","openwater.Occ2","openwater.Occ3","woody.Occ1","woody.Occ2","woody.Occ3","wind.Occ1","wind.Occ2","wind.Occ3","noise.Occ1","noise.Occ2","noise.Occ3","temp.Occ1","temp.Occ2","temp.Occ3"
"BogotaA1",26.416,40.6,36.8,22.4794666666667,29.6,4.13333333333333,0,0,0,0,0,0,0,0,19,1,1,39,34,42,25,65,57,17,0,0,0,16,7,5,2,0,0,7,16,25
"BogotaA2",27.2796,117,70.2,18.8806666666667,33.8,25.6666666666667,0,0,2,6,1,3,0,0,0,11,4,17,4,4,10,79,82,67,0,9,1,18,7,0,1,0,0,7,16,28
"BogotaA3",24.0792,48.2,54.2,9.56733333333333,28,5.8,0,0,0,12,13,37,0,0,2,10,8,21,0,0,4,78,79,26,0,0,4,3,2,0,0,0,0,7,17,25
"GoochA1",69.8,119,102.8,109.8,68.4666666666667,80.4,0,0,32,5,8,0,0,0,0,8,10,1,17,28,21,67,46,16,3,8,30,13,0,0,0,2,1,26,30,18
"GoochA2",281.6,200,164,124.6,69.8666666666667,60.3333333333333,0,0,23,1,0,0,0,0,0,0,0,0,5,20,2,54,8,13,40,72,62,13,0,0,0,2,0,24,30,18
"GoochA3",115.8,18.4,156,116.133333333333,78,71.9333333333333,0,0,41,0,0,0,0,0,2,1,0,0,10,31,12,81,19,37,8,50,4,19,4,0,0,0,0,26,29,19
"HatchieA1",30.2768,251.2,179,7.50173333333333,30.4666666666667,31.2666666666667,3,0,0,6,11,10,13,0,9,69,11,3,0,0,13,6,42,32,1,34,33,0,0,0,3,1,0,18,28,30
"HatchieB1",2.794,140.8,132.8,16.934,8.2,21.8666666666667,0,27,7,0,14,41,0,10,0,11,44,18,38,0,0,51,4,34,0,1,0,0,5,0,0,0,0,18,27,32
"HatchieC1",125.824,37.4,57.4,28.8713333333333,32.5333333333333,28.7333333333333,0,0,0,0,0,0,0,0,0,0,4,3,25,48,52,43,50,44,32,0,1,0,8,2,0,0,2,22,26,27
"HatchieD1",0,178.816,65,30.7733333333333,53.5333333333333,22.6666666666667,0,1,0,0,0,0,0,0,0,0,0,50,5,68,43,95,31,11,0,0,0,0,8,0,0,0,0,0,25,29
"HatchieD2",0,79.4,54.2,39.4546666666667,96.1333333333333,48.4666666666667,1,0,0,0,0,0,0,0,0,0,0,7,61,13,32,46,78,61,0,9,0,0,2,0,0,0,0,0,24,27
"Lake IsomA1",219.8,304.8,0,130.066666666667,100.533333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,81,63,0,16,39,0,16,0,0,0,0,0,22,26,0
"Lake IsomA2",226.4,132,0,136,112.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,63,0,16,37,0,16,1,0,0,0,0,22,24,0
"Lake IsomA3",130,80,0,131.2,110,0,0,0,0,0,0,0,0,0,0,9,0,0,1,5,0,75,89,0,15,6,0,16,0,0,0,0,0,22,26,0
"Lower HatchieA1",0,0,57.6,0,0,0,0,0,0,0,2,60,40,47,21,60,51,20,0,0,0,0,0,0,0,0,0,1,4,5,0,0,2,20,18,23
"Lower HatchieA2",12.8224,52.8,57.2,5.55346666666667,27.3333333333333,1.4,0,0,0,5,17,18,1,0,26,63,23,38,3,8,0,28,52,12,0,0,6,2,6,11,1,0,2,17,19,24
"Lower HatchieA3",31.124,93.8,85.4,1.10066666666667,0.933333333333333,0,0,0,0,9,14,49,26,21,21,43,52,27,0,0,0,16,6,0,0,7,2,0,4,11,0,0,2,22,18,25
"Parker BranchA1",58.3184,167.2,161.4,2.04893333333333,20.1333333333333,11.6,9,21,19,2,32,55,12,1,6,64,19,16,0,0,0,15,27,4,0,0,0,0,0,0,1,0,0,17,16,26
"Parker BranchA2",31.178,187.932,82,0.473333333333333,2,0,1,5,2,44,42,20,11,29,45,29,23,33,0,0,0,15,1,0,0,0,0,0,3,1,0,0,0,17,16,28
"ReelfootA1",124,119.4,118.6,77.1333333333333,46.8,109.066666666667,0,0,0,14,22,42,0,0,0,19,13,8,42,22,21,25,23,21,0,18,8,13,0,6,0,0,1,10,28,22
"ReelfootA2",154.6,80,82.6,91.9333333333333,47.7333333333333,108.666666666667,0,16,0,0,12,14,0,2,0,0,48,8,13,6,44,48,8,40,39,8,4,6,0,3,0,0,0,10,25,22
"ReelfootA3",186.8,131.4,175.6,70.6666666666667,60.2,142.133333333333,14,30,0,0,0,46,0,0,0,27,17,19,38,37,30,7,6,5,14,10,0,0,0,4,0,0,1,10,29,24
"ReelfootB1",133,147,152.2,67.7333333333333,44.8666666666667,112.533333333333,27,20,0,3,0,20,0,0,0,4,23,18,4,48,50,54,6,6,8,6,6,0,0,4,0,0,0,14,22,18
"ReelfootB2",67,160,119.6,55.5333333333333,41.4,175.666666666667,11,0,0,0,7,14,0,0,0,8,18,33,2,1,2,54,14,26,25,60,25,11,3,5,0,0,0,14,21,19
"ReelfootB3",86,0,138,79.1333333333333,0,177.933333333333,3,0,0,6,0,4,0,0,0,12,0,18,18,0,34,60,0,24,1,0,20,11,3,7,0,0,0,14,22,17
"ReelfootC1",44.6,0,85,103.466666666667,0,159.4,1,0,0,2,0,10,0,0,0,8,0,3,2,0,4,83,0,75,4,0,8,0,0,2,0,0,0,14,24,19
"ReelfootC2",88.8,0,112.8,78.4666666666667,0,96.4666666666667,0,0,13,24,0,0,0,0,0,0,0,4,1,0,17,68,0,63,7,0,3,10,0,2,0,0,0,14,24,19
"ReelfootC3",106,124,166,97.8,55,155,0,72,0,0,0,36,0,0,0,0,1,4,77,6,8,23,14,18,0,7,34,10,2,7,0,0,0,14,26,20
"ReelfootD1",236,134,196,102.866666666667,99.9333333333333,134.333333333333,0,26,0,42,0,36,0,0,0,0,5,4,4,32,36,54,37,26,0,0,0,10,0,2,0,0,0,9,24,21
"ReelfootD2",127,32.4,139.2,98.0666666666667,121.2,139,0,0,0,6,1,0,0,0,0,0,8,8,3,22,34,83,67,5,7,1,47,10,0,3,0,0,0,9,23,21
"ReelfootD3",221.4,111.6,125,202.066666666667,120.666666666667,173.666666666667,0,0,0,6,0,0,0,0,0,0,11,18,0,36,54,45,7,9,49,46,19,10,0,2,0,0,0,9,26,22
"ReelfootE1",122.6,39,64,71.3333333333333,61.7333333333333,40.3333333333333,19,0,3,0,9,0,0,0,0,0,2,1,0,0,0,81,90,94,0,0,0,16,0,3,0,0,0,21,25,23
"Tennessee NationalA1",20.5232,57.2,63,1.00753333333333,4.66666666666667,0,0,0,0,24,21,14,55,25,44,13,19,7,0,15,31,8,20,0,0,0,0,3,2,1,0,0,0,13,15,20
"Tennessee NationalA2",20.066,46.4,70.6,1.6256,0,0,0,0,0,5,32,32,52,29,23,35,39,37,0,0,7,8,0,0,0,0,1,7,0,0,0,0,0,9,16,20
"Tennessee NationalA3",18.669,62.6,52.8,0,0,0,0,0,0,11,23,4,22,40,27,67,37,6,0,0,65,0,0,0,0,2,0,0,3,2,0,0,0,12,13,17
"Tennessee NationalB1",10.922,81.4,58.8,0.931333333333333,38.1333333333333,0,0,0,0,6,8,3,27,0,54,61,6,25,0,0,8,6,78,0,0,8,10,14,3,6,0,0,0,9,14,18
"Tennessee NationalB2",0,0,0,5.29166666666667,65.2666666666667,0,0,0,0,0,0,0,17,0,93,21,4,7,0,0,0,62,96,0,0,0,0,7,2,6,0,0,0,9,17,19
"Tennessee NationalB3",24.2824,67.6,77.2,0,1.2,0,0,0,18,23,69,48,14,16,20,63,6,7,0,0,0,0,9,0,0,0,7,6,2,3,0,0,0,9,17,20
"TigrettA1",34.3916,73.4,97.2,20.1337333333333,50.5333333333333,38.4,0,5,12,2,2,0,0,0,0,23,26,38,5,23,24,70,43,26,0,1,0,2,2,0,0,0,0,15,12,22
"TigrettA2",60.5028,99,91,17.9324,39.2,38.9333333333333,0,0,0,5,7,13,0,0,0,10,0,3,30,73,69,55,19,15,0,1,0,4,1,0,0,0,0,15,12,22
"TigrettA3",45.9232,94.2,98.4,30.6832,47.6,38,0,0,0,3,5,15,0,0,0,26,5,3,23,45,51,48,45,30,0,0,1,3,0,0,0,0,0,15,18,26
