DATE,START TIME (24HR),SITE,POINT,OBSERVER,BOUT,SKY,WIND (MPH),NOISE,NOISE_DIST (M),NOISE_DIR,TEMP (F),WATER_DEPTH (CM),SPECIES_CODE,COMMON_NAME,"DISTANCE_BAND (1 = <10, 2 = 10<25, 3 = 25 < 50, 4 = 50 < 100",DISTANCE (M),TIME_INTERVAL ,DETECTION_TYPE,COMMENTS,Entered By:,Proofed:
4/15/2023,6:32,West Sandy,A1,HH,1,0,0,0,NA,NA,62.4,200,NA,NA,NA,NA,NA,NA,No bird detected,HH,RLB
4/15/2023,7:12,West Sandy,A2,HH,1,0,0,0,NA,NA,61.8,200,NA,NA,NA,NA,NA,NA,No bird detected,RLB,HH
4/15/2023,8:06,West Sandy,A3,HH,1,0,0,0,NA,NA,75,190,NA,NA,NA,NA,NA,NA,No bird detected,RLB,HH
4/16/2023,6:11,Tennessee National,C1,RLB,1,2,5.5,2,NA,NA,55.6,11.43,NA,NA,NA,NA,NA,NA,"No bird detected, noise from wind",HH,RLB
4/16/2023,6:19,Tennessee National,C2,HH,1,4,7.2,3,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,"No bird detected, noise from wind",HH,RLB
4/16/2023,6:45,Tennessee National,C3,RLB,1,2,3.2,0,NA,NA,53.6,30.48,NA,NA,NA,NA,NA,NA,No bird detected,HH,RLB
4/16/2023,7:26,Tennessee National,D1,RLB,1,2,2.2,1,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,"No bird detected, noise from wind",HH,RLB
4/16/2023,7:32,Tennessee National,D2,HH,1,2,3.2,2,NA,NA,52.7,29.21,NA,NA,NA,NA,NA,NA,"No bird detected, noise from wind",HH,RLB
4/16/2023,8:11,Tennessee National,D3,HH,1,2,6.7,1,NA,NA,52.1,26.67,NA,NA,NA,NA,NA,NA,"No bird detected, noise from wind",HH,RLB
4/17/2023,6:33,Cross Creeks,A1,HH,1,0,0.6,0,NA,NA,52,5.08,PBGR,Pied-billed grebe,4,89,10,V,Pair seen together,HH,
4/17/2023,6:33,Cross Creeks,A1,HH,1,0,0.6,0,NA,NA,52,5.08,PBGR,Pied-billed grebe,4,89,10,V,Pair seen together,HH,
4/17/2023,6:01,Cross Creeks,A2,RLB,1,0,8,2,NA,NA,49,0,NA,NA,NA,NA,NA,NA,Noise from wind,HH,
4/17/2023,6:07,Cross Creeks,A3,HH,1,0,1.8,0,NA,NA,48.4,0,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/17/2023,7:00,Cross Creeks,B1,RLB,1,0,1.6,1,NA,NA,53.2,31.75,NA,NA,NA,NA,NA,NA,"No birds detected, noise from wind",HH,
4/17/2023,7:01,Cross Creeks,C1,HH,1,0,0.6,0,NA,NA,51,29.21,AMCO,American coot,4,82,2,A,,HH,
4/17/2023,7:30,Cross Creeks,D1,RLB,1,0,0,0,NA,NA,56.1,22.86,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/26/2023,18:13,Armstrong Ferry,A1,RLB,1,2,0,0,NA,NA,69,0,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/26/2023,18:24,Armstrong Ferry,A2,HH,1,2,0,0,NA,NA,67.6,7.62,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/26/2023,19:13,Armstrong Ferry,B1,RLB,1,2,0,1,NA,NA,64.4,48,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/26/2023,19:05,Armstrong Ferry,B2,HH,1,2,0,0,NA,NA,59,35.56,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/26/2023,19:26,Armstrong Ferry,B3,HH,1,2,0,0,NA,NA,58,5.08,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/26/2023,17:40,Armstrong Ferry,C1,RLB,1,2,0,0,NA,NA,72.5,66.04,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/27/2023,8:40,Yellow Creek,A1,HH,1,2,0,0,NA,NA,59.4,20.07,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/27/2023,8:57,Yellow Creek,A2,RLB,1,2,1.5,2,NA,NA,62.3,63,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/27/2023,7:28,Chickamauga ,A1,HH,1,3,0,0,NA,NA,62,10.16,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/28/2023,7:30,Cowan Marsh,A1,RLB,1,2,1.5,0,NA,NA,67.1,71.12,NA,NA,NA,NA,NA,NA,No birds detected,HH,
4/28/2023,8:00,Cowan Marsh,A2,HH,1,2,0,0,NA,NA,76.8,66.04,SORA,Sora,1,5,1,B,,HH,
4/28/2023,8:00,Cowan Marsh,A2,HH,1,2,0,0,NA,NA,76.8,66.04,SORA,Sora,1,8,1,B,,HH,
4/28/2023,8:00,Cowan Marsh,A2,HH,1,2,0,0,NA,NA,76.8,66.04,SORA,Sora,2,11,3,A,,HH,
