"","emergent.Site_id","emergent.1","emergent.2","emergent.3","floating.Site_id","floating.1","floating.2","floating.3","openwater.Site_id","openwater.1","openwater.2","openwater.3","woody.Site_id","woody.1","woody.2","woody.3","water_depth.Site_id","water_depth.1","water_depth.2","water_depth.3"
"1","BogotaA1",0,0,0,"BogotaA1",34,42,25,"BogotaA1",65,57,17,"BogotaA1",0,0,0,"BogotaA1",22.4794666666667,29.6,4.13333333333333
"2","BogotaA2",0,0,2,"BogotaA2",4,4,10,"BogotaA2",79,82,67,"BogotaA2",0,9,1,"BogotaA2",18.8806666666667,33.8,25.6666666666667
"3","BogotaA3",0,0,0,"BogotaA3",0,0,4,"BogotaA3",78,79,26,"BogotaA3",0,0,4,"BogotaA3",9.56733333333333,28,5.8
"4","GoochA1",0,0,32,"GoochA1",17,28,21,"GoochA1",67,46,16,"GoochA1",3,8,30,"GoochA1",109.8,68.4666666666667,80.4
"5","GoochA2",0,0,23,"GoochA2",5,20,2,"GoochA2",54,8,13,"GoochA2",40,72,62,"GoochA2",124.6,69.8666666666667,60.3333333333333
"6","GoochA3",0,0,41,"GoochA3",10,31,12,"GoochA3",81,19,37,"GoochA3",8,50,4,"GoochA3",116.133333333333,78,71.9333333333333
"7","HatchieA1",3,0,0,"HatchieA1",0,0,13,"HatchieA1",6,42,32,"HatchieA1",1,34,33,"HatchieA1",7.50173333333333,30.4666666666667,31.2666666666667
"8","HatchieB1",0,27,7,"HatchieB1",38,0,0,"HatchieB1",51,4,34,"HatchieB1",0,1,0,"HatchieB1",16.934,8.2,21.8666666666667
"9","HatchieC1",0,0,0,"HatchieC1",25,48,52,"HatchieC1",43,50,44,"HatchieC1",32,0,1,"HatchieC1",28.8713333333333,32.5333333333333,28.7333333333333
"10","HatchieD1",0,1,0,"HatchieD1",5,68,43,"HatchieD1",95,31,11,"HatchieD1",0,0,0,"HatchieD1",30.7733333333333,53.5333333333333,22.6666666666667
"11","HatchieD2",1,0,0,"HatchieD2",61,13,32,"HatchieD2",46,78,61,"HatchieD2",0,9,0,"HatchieD2",39.4546666666667,96.1333333333333,48.4666666666667
"12","Lake IsomA1",0,0,NA,"Lake IsomA1",3,0,NA,"Lake IsomA1",81,63,NA,"Lake IsomA1",16,39,NA,"Lake IsomA1",130.066666666667,100.533333333333,NA
"13","Lake IsomA2",0,0,NA,"Lake IsomA2",0,0,NA,"Lake IsomA2",84,63,NA,"Lake IsomA2",16,37,NA,"Lake IsomA2",136,112.6,NA
"14","Lake IsomA3",0,0,NA,"Lake IsomA3",1,5,NA,"Lake IsomA3",75,89,NA,"Lake IsomA3",15,6,NA,"Lake IsomA3",131.2,110,NA
"15","Lower HatchieA1",0,0,0,"Lower HatchieA1",0,0,0,"Lower HatchieA1",0,0,0,"Lower HatchieA1",0,0,0,"Lower HatchieA1",0,0,0
"16","Lower HatchieA2",0,0,0,"Lower HatchieA2",3,8,0,"Lower HatchieA2",28,52,12,"Lower HatchieA2",0,0,6,"Lower HatchieA2",5.55346666666667,27.3333333333333,1.4
